rater_id,n_ratings,consensus_agreement,expected_by_chance,p_above_chance,median_rt_ms,agreement_audio,agreement_visual,agreement_audiovisual,q_bh,at_chance
SSI_1073928842,90,0.5777777777777777,0.19825222767444847,2.750605928959078e-15,3682.5,0.6833333333333333,0.65,0.4,3.893238867002913e-15,False
SSI_1079191253,90,0.6814814814814815,0.19934019464144279,1.118341621482324e-22,4953.0,0.7833333333333333,0.611111111111111,0.65,4.456947114651416e-22,False
SSI_1102053744,90,0.6444444444444445,0.19505584738621892,1.7990789204140727e-20,2949.5,0.6333333333333333,0.65,0.65,4.690661475529968e-20,False
SSI_1105890547,90,0.5962962962962963,0.20200845583983337,1.8962705410683578e-16,3164.0,0.55,0.5555555555555555,0.6833333333333333,2.9450660723649067e-16,False
SSI_1132012319,90,0.7055555555555556,0.19264902836068049,2.064961224708044e-26,3577.5,0.6666666666666666,0.8,0.65,2.1558548170776715e-25,False
SSI_1132037920,90,0.787037037037037,0.2004020216059217,5.975371360898369e-33,3496.0,0.6166666666666667,0.9111111111111111,0.8333333333333334,1.0427023024767655e-30,False
SSI_1132150938,90,0.7703703703703704,0.2041512616829205,3.706931518681859e-30,3449.5,0.7166666666666667,0.8111111111111111,0.7833333333333333,1.7086856037999588e-28,False
SSI_1132155575,90,0.7370370370370369,0.19798473309211362,9.149883412160922e-28,8750.5,0.6166666666666667,0.7611111111111111,0.8333333333333334,1.5310387106787076e-26,False
SSI_1132280572,90,0.6314814814814815,0.20529533566595554,1.608263211936208e-18,8457.5,0.6333333333333333,0.5611111111111111,0.7,3.067124923310036e-18,False
SSI_1162900022,90,0.6333333333333333,0.20902902324226394,3.861226635249118e-18,3793.0,0.5833333333333334,0.6333333333333333,0.6833333333333333,7.087134988665361e-18,False
SSI_1079540381,90,0.5037037037037037,0.20597394732751562,5.695104198114991e-10,2437.5,0.42777777777777776,0.6833333333333333,0.4,6.23907603407844e-10,False
SSI_1092213850,90,0.6888888888888889,0.21629745282913898,1.136927029500049e-21,4566.5,0.5666666666666667,0.6333333333333333,0.8666666666666667,3.673958641625158e-21,False
SSI_1106010344,90,0.725,0.21341114894288513,8.0270886524706835e-25,5233.0,0.6333333333333333,0.625,0.9166666666666666,5.2433629887662776e-24,False
SSI_1114581881,90,0.7148148148148148,0.20349363957513775,4.870770212363556e-25,4112.5,0.5277777777777778,0.75,0.8666666666666667,3.3238244773195996e-24,False
SSI_1120293764,90,0.6981481481481481,0.21220633591176094,4.7715041949904746e-23,3048.5,0.611111111111111,0.6833333333333333,0.8,2.0704768647178915e-22,False
SSI_1132233840,89,0.7303370786516854,0.20623866423445844,3.7854180909464676e-26,3405.0,0.6896551724137931,0.6333333333333333,0.8666666666666667,3.640856848890638e-25,False
SSI_1132307353,90,0.7370370370370369,0.20692624928306766,1.297392277104238e-26,3821.0,0.6277777777777779,0.65,0.9333333333333333,1.4453191924219826e-25,False
SSI_1152434780,90,0.7148148148148148,0.20603404151582008,9.934245957211987e-25,4990.0,0.5611111111111111,0.6833333333333333,0.9,6.303730616485424e-24,False
SSI_1158587155,90,0.6111111111111112,0.2064016621703502,8.425392359938415e-17,5020.0,0.5166666666666667,0.65,0.6666666666666666,1.3649359108308718e-16,False
SSI_1159369573,90,0.7722222222222223,0.21495439956220347,8.020802921621026e-30,5602.0,0.7166666666666667,0.8,0.8,3.2122658258229783e-28,False
SSI_1074876451,90,0.6481481481481481,0.19820124581852688,4.026151244470059e-20,3492.0,0.7,0.5611111111111111,0.6833333333333333,9.95535171076959e-20,False
SSI_1079235950,90,0.31666666666666665,0.2193410898585557,0.027438545466901658,4069.5,0.21666666666666667,0.3333333333333333,0.4,0.02759669270302213,False
SSI_1106186046,90,0.5833333333333334,0.21798883153430101,1.5244585277992278e-13,2891.5,0.48333333333333334,0.6166666666666667,0.65,1.9336719540049397e-13,False
SSI_1131951419,90,0.5916666666666667,0.21446710051821438,1.494254351360501e-14,8195.0,0.5333333333333333,0.5916666666666667,0.65,2.0134933151537255e-14,False
SSI_1131998546,90,0.5416666666666666,0.2165544484198154,1.1765915058260194e-11,2578.5,0.5666666666666667,0.4083333333333333,0.65,1.3590605431361539e-11,False
SSI_1132187682,90,0.6333333333333333,0.20575885076376688,1.7948692553064774e-18,4843.5,0.6666666666666666,0.6,0.6333333333333333,3.4150043541384146e-18,False
SSI_1132192547,90,0.7,0.2138963996087345,7.43141838901872e-23,6876.0,0.65,0.75,0.7,3.103411132371407e-22,False
SSI_1151419384,90,0.6611111111111111,0.21890250933908695,1.225117810734811e-19,4120.5,0.65,0.6333333333333333,0.7,2.773830223934331e-19,False
SSI_1156777177,90,0.5777777777777777,0.2227407400663776,3.736808824999583e-13,4658.5,0.43333333333333335,0.5666666666666667,0.7333333333333333,4.638731686724584e-13,False
SSI_1159792302,90,0.6166666666666667,0.22073874125393111,3.190827219814103e-16,2441.0,0.45,0.7333333333333333,0.6666666666666666,4.850772182953238e-16,False
SSI_1091278364,90,0.7083333333333334,0.20219041166837112,3.365798844746786e-25,4199.5,0.625,0.6166666666666667,0.8833333333333333,2.3833758196279415e-24,False
SSI_1092401610,90,0.5703703703703704,0.20760616752327649,1.0082552069145433e-13,2797.5,0.5,0.6277777777777778,0.5833333333333334,1.2957219729049077e-13,False
SSI_1132146913,90,0.5277777777777778,0.21557901159264015,4.260676295752231e-11,4782.5,0.5333333333333333,0.43333333333333335,0.6166666666666667,4.8099963911842424e-11,False
